LocID,Deaths,DeathLon,DeathLat
131,1,-0.1356965,51.513219
132,2,-0.1356902,51.5131749
133,1,-0.1356134,51.5131245
134,1,-0.1355905,51.5130695
135,1,-0.135508,51.5129595
136,1,-0.1357595,51.5132975
137,3,-0.1360219,51.5134809
138,3,-0.1361182,51.5134591
139,3,-0.1362024,51.5134367
140,3,-0.1350164,51.5125916
141,1,-0.1347545,51.5125928
142,2,-0.1348897,51.5125458
143,1,-0.1350112,51.5125085
144,1,-0.1333175,51.513215
145,1,-0.1331107,51.5133021
146,2,-0.1331674,51.5132282
147,1,-0.1327721,51.5133617
148,1,-0.1337071,51.5135422
149,1,-0.1337243,51.5136252
150,2,-0.1338607,51.5136378
151,2,-0.13382,51.5135158
152,1,-0.1341277,51.513914
153,1,-0.1339232,51.5137347
154,1,-0.1346371,51.513741
155,1,-0.134731,51.5138796
156,1,-0.1349579,51.513922
157,1,-0.1348313,51.5135628
158,1,-0.1347494,51.5140435
159,5,-0.1340366,51.5140114
160,1,-0.1338332,51.5138057
161,1,-0.134354,51.5140681
162,2,-0.1343844,51.5141409
163,2,-0.1344354,51.5142068
164,1,-0.1346416,51.5142383
165,1,-0.1343242,51.5142876
166,1,-0.1342131,51.5143609
167,1,-0.1341781,51.5143088
168,2,-0.1340773,51.5143328
169,2,-0.1341254,51.5143804
170,5,-0.133796,51.5145127
171,1,-0.1339048,51.5144858
172,1,-0.1338154,51.5144457
173,1,-0.133714,51.5144852
174,1,-0.1337369,51.5145351
175,4,-0.1336407,51.5145517
176,1,-0.1335232,51.5145861
177,2,-0.1334041,51.514558
178,1,-0.1332906,51.5145924
179,1,-0.1345156,51.5159073
180,1,-0.1352782,51.5152249
181,1,-0.1353962,51.5151883
182,1,-0.1359474,51.5148032
183,3,-0.1368871,51.5148749
184,1,-0.1366848,51.514947
185,1,-0.135614,51.5145311
186,2,-0.1355177,51.5147551
187,1,-0.1348662,51.5145322
188,1,-0.1347012,51.5145168
189,1,-0.1347786,51.5148542
190,1,-0.1356203,51.5143678
191,1,-0.135512,51.5143764
192,2,-0.1356019,51.5143105
193,1,-0.1353195,51.5142154
194,1,-0.1355062,51.514216
195,2,-0.1352782,51.5141088
196,3,-0.1353859,51.5141157
197,2,-0.1360786,51.514334
198,1,-0.1362133,51.5142916
199,1,-0.1362156,51.5145357
200,1,-0.1361147,51.5145729
201,1,-0.1360018,51.514589
202,1,-0.1362797,51.5145855
203,2,-0.1364356,51.5145339
204,3,-0.1369025,51.5144944
205,3,-0.1368533,51.5142738
206,1,-0.1367455,51.5142744
207,1,-0.1367209,51.5140567
208,3,-0.1366544,51.5141564
209,1,-0.1366539,51.5139673
210,1,-0.1360041,51.5140269
211,1,-0.1358317,51.5140733
212,1,-0.135752,51.5140956
213,2,-0.1356712,51.5141357
214,2,-0.1357583,51.5140435
215,4,-0.135893,51.5139994
216,5,-0.1359726,51.513977
217,2,-0.1360483,51.5139524
218,5,-0.1353086,51.5137748
219,5,-0.1353063,51.5140263
220,3,-0.1354186,51.5137198
221,3,-0.1355148,51.513698
222,1,-0.1356581,51.5136562
223,5,-0.1357669,51.5136321
224,4,-0.1358471,51.513592
225,4,-0.1361577,51.5135164
226,1,-0.1364929,51.5134339
227,4,-0.1366143,51.513415
228,1,-0.1367284,51.5133703
229,3,-0.1368332,51.5133433
230,2,-0.1369512,51.5133009
231,1,-0.1371489,51.5133325
232,2,-0.1365834,51.5138705
233,1,-0.1364711,51.513871
234,1,-0.1372228,51.5134585
235,2,-0.1372709,51.5135055
236,3,-0.1373878,51.5136888
237,1,-0.1382421,51.5139094
238,1,-0.137299,51.5137238
239,4,-0.1379648,51.5134803
240,2,-0.1380966,51.5137181
241,2,-0.1381957,51.5136315
242,1,-0.1382501,51.5137152
243,5,-0.1377992,51.5140813
244,3,-0.137723,51.5147305
245,2,-0.1375259,51.5147792
246,3,-0.1370716,51.5145208
247,2,-0.1371191,51.5147832
248,1,-0.1384352,51.5123326
249,1,-0.1381327,51.5120221
250,1,-0.1377551,51.5118141
